fips,date,zhvi
Lassen County,2024-11-30,229588.1620896421
Glenn County,2024-11-30,346558.3559031577
Del Norte County,2024-11-30,369693.4428922369
Colusa County,2024-11-30,374426.7174407442
Plumas County,2024-11-30,370864.1456989777
Inyo County,2024-11-30,505991.5433103023
Mariposa County,2024-11-30,405364.7441010485
Trinity County,2024-11-30,275354.6037723449
Mono County,2024-11-30,826943.4336581118
Modoc County,2024-11-30,181297.51103119997
Sierra County,2024-11-30,319969.0632727621
Alpine County,2024-11-30,584022.3460612955
Los Angeles County,2024-12-31,951598.0709359788
San Diego County,2024-12-31,1029913.3711648944
Orange County,2024-12-31,1288070.421415415
Riverside County,2024-12-31,638043.4848238983
San Bernardino County,2024-12-31,567870.8602918182
Santa Clara County,2024-12-31,1881714.692488877
Alameda County,2024-12-31,1236925.735667046
Sacramento County,2024-12-31,558093.0243234936
Contra Costa County,2024-12-31,873246.7066127922
Fresno County,2024-12-31,413335.8532272296
Kern County,2024-12-31,365586.2979839601
San Francisco County,2024-12-31,1437029.0312861465
Ventura County,2024-12-31,932055.497798492
San Joaquin County,2024-12-31,565481.912719746
San Mateo County,2024-12-31,1732762.1900204995
Stanislaus County,2024-12-31,475303.05448168673
Sonoma County,2024-12-31,848596.573858338
Tulare County,2024-12-31,356768.85761163785
Solano County,2024-12-31,606152.3757341857
Santa Barbara County,2024-12-31,1051420.7329720987
Monterey County,2024-12-31,884679.9136100834
Placer County,2024-12-31,708288.3034220082
San Luis Obispo County,2024-12-31,919844.12154798
Merced County,2024-12-31,428164.5018418584
Santa Cruz County,2024-12-31,1188883.8039895222
Marin County,2024-12-31,1631269.1146933103
Butte County,2024-12-31,403531.5781193372
Yolo County,2024-12-31,644646.9676037296
El Dorado County,2024-12-31,668242.1237909343
Shasta County,2024-12-31,379267.12855889247
Imperial County,2024-12-31,351506.4020768686
Madera County,2024-12-31,417236.5005380428
Kings County,2024-12-31,353184.9311011568
Napa County,2024-12-31,948341.2079454076
Humboldt County,2024-12-31,453394.1163286193
Nevada County,2024-12-31,626354.1553184415
Sutter County,2024-12-31,445937.6101649278
Mendocino County,2024-12-31,522747.0586910937
Yuba County,2024-12-31,433623.7285066877
Lake County,2024-12-31,320307.20589944464
Tehama County,2024-12-31,317050.0505925022
San Benito County,2024-12-31,783978.1525370656
Tuolumne County,2024-12-31,406936.7279692637
Calaveras County,2024-12-31,457805.2952789422
Siskiyou County,2024-12-31,292264.8059120457
Amador County,2024-12-31,433125.7080988952
Lassen County,2024-12-31,229637.7541127176
Glenn County,2024-12-31,348571.3953721857
Del Norte County,2024-12-31,370504.8567026557
Colusa County,2024-12-31,376022.3577604688
Plumas County,2024-12-31,368892.7055425528
Inyo County,2024-12-31,507521.5781632461
Mariposa County,2024-12-31,403150.7445394904
Trinity County,2024-12-31,273035.6520607888
Mono County,2024-12-31,828697.7113320936
Modoc County,2024-12-31,182845.7663946665
Sierra County,2024-12-31,321702.8372383219
Alpine County,2024-12-31,588883.4911690475
Los Angeles County,2025-01-31,950793.1986535324
San Diego County,2025-01-31,1030297.6756599104
Orange County,2025-01-31,1293290.7151364356
Riverside County,2025-01-31,637906.7689483264
San Bernardino County,2025-01-31,568111.8744917018
Santa Clara County,2025-01-31,1887911.6472444527
Alameda County,2025-01-31,1236171.7588054752
Sacramento County,2025-01-31,558247.7038396908
Contra Costa County,2025-01-31,872342.882251907
Fresno County,2025-01-31,414319.9330184152
Kern County,2025-01-31,366702.7655552647
San Francisco County,2025-01-31,1440005.584817203
Ventura County,2025-01-31,932258.5189274792
San Joaquin County,2025-01-31,566029.3853360858
San Mateo County,2025-01-31,1740743.17217471
Stanislaus County,2025-01-31,476058.59860489314
Sonoma County,2025-01-31,848241.9970716621
Tulare County,2025-01-31,358287.52485187125
Solano County,2025-01-31,606751.5349678961
Santa Barbara County,2025-01-31,1051664.6559622793
Monterey County,2025-01-31,885208.7387261338
Placer County,2025-01-31,709328.8580525275
San Luis Obispo County,2025-01-31,922749.607224758
Merced County,2025-01-31,428300.2318529766
Santa Cruz County,2025-01-31,1186159.1262541416
Marin County,2025-01-31,1626327.058267649
Butte County,2025-01-31,404043.8994657616
Yolo County,2025-01-31,644775.5222406783
El Dorado County,2025-01-31,669450.561626876
Shasta County,2025-01-31,379704.0713462663
Imperial County,2025-01-31,353888.4065239709
Madera County,2025-01-31,418824.3465272652
